cname,cvalue,ctype,cdesc,Deprecated
alluxio.underfs.oss.socket.timeout,The timeout of OSS socket.,STRING,,false
alluxio.underfs.oss.streaming.upload.enabled,"(Experimental) If true, using streaming upload to write to OSS.",STRING,,false
alluxio.underfs.oss.streaming.upload.partition.size,"Maximum allowable size of a single buffer file when using OSS streaming upload. When the buffer file reaches the partition size, it will be uploaded and the upcoming data will write to other buffer files.If the partition size is too small, OSS upload speed might be affected.",STRING,,false
alluxio.underfs.oss.streaming.upload.threads,the number of threads to use for streaming upload data to OSS.,STRING,,false
alluxio.underfs.oss.sts.ecs.metadata.service.endpoint,The ECS metadata service endpoint for Aliyun STS,UNKOWN,,false
alluxio.underfs.oss.sts.enabled,Whether to enable oss STS(Security Token Service).,STRING,,false
alluxio.underfs.oss.sts.token.refresh.interval.ms,Time before an OSS Security Token is considered expired and will be automatically renewed,UNKOWN,,false
alluxio.underfs.ozone.prefixes,"Specify which prefixes should run through the Ozone implementation of UnderFileSystem. The delimiter is any whitespace and/or ','. The default value is &quot;o3fs://,ofs://&quot;.",STRING,,false
alluxio.underfs.persistence.async.temp.dir,The temporary directory used for async persistence in the ufs,UNKOWN,,false
alluxio.underfs.s3.admin.threads.max,The maximum number of threads to use for metadata operations when communicating with S3. These operations may be fairly concurrent and frequent but should not take much time to process.,STRING,,false
alluxio.underfs.s3.connection.ttl,The expiration time of S3 connections in ms. -1 means the connection will never expire.,STRING,,false
alluxio.underfs.s3.default.mode,Mode (in octal notation) for S3 objects if mode cannot be discovered.,STRING,,false
alluxio.underfs.s3.directory.suffix,Directories are represented in S3 as zero-byte objects named with the specified suffix.,STRING,,false
alluxio.underfs.s3.disable.dns.buckets,"Optionally, specify to make all S3 requests path style.",STRING,,false
alluxio.underfs.s3.endpoint,"Optionally, to reduce data latency or visit resources which are separated in different AWS regions, specify a regional endpoint to make aws requests. An endpoint is a URL that is the entry point for a web service. For example, s3.cn-north-1.amazonaws.com.cn is an entry point for the Amazon S3 service in beijing region.",STRING,,false
alluxio.underfs.s3.endpoint.region,"Optionally, set the S3 endpoint region. If not provided, inducted from the endpoint uri or set to null",STRING,,false
alluxio.underfs.s3.inherit.acl,Set this property to false to disable inheriting bucket ACLs on objects. Note that the translation from bucket ACLs to Alluxio user permissions is best effort as some S3-like storage services doe not implement ACLs fully compatible with S3.,STRING,,false
alluxio.underfs.s3.intermediate.upload.clean.age,"Streaming uploads may not have been completed/aborted correctly and need periodical ufs cleanup. If ufs cleanup is enabled, intermediate multipart uploads in all non-readonly S3 mount points older than this age will be cleaned. This may impact other ongoing upload operations, so a large clean age is encouraged.",STRING,,false
alluxio.underfs.s3.list.objects.v1,Whether to use version 1 of GET Bucket (List Objects) API.,STRING,,false
alluxio.underfs.s3.max.error.retry,The maximum number of retry attempts for failed retryable requests.Setting this property will override the AWS SDK default.,STRING,,false
alluxio.underfs.s3.owner.id.to.username.mapping,"Optionally, specify a preset s3 canonical id to Alluxio username static mapping, in the format &quot;id1=user1;id2=user2&quot;. The AWS S3 canonical ID can be found at the console address https://console.aws.amazon.com/iam/home?#security_credential . Please expand the &quot;Account Identifiers&quot; tab and refer to &quot;Canonical User ID&quot;. Unspecified owner id will map to a default empty username",STRING,,false
alluxio.underfs.s3.proxy.host,"Optionally, specify a proxy host for communicating with S3.",STRING,,false
alluxio.underfs.s3.proxy.port,"Optionally, specify a proxy port for communicating with S3.",STRING,,false
alluxio.underfs.s3.region,"Optionally, set the S3 bucket region. If not provided, will enable the global bucket access with extra requests",STRING,,false
alluxio.underfs.s3.request.timeout,"The timeout for a single request to S3. Infinity if set to 0. Setting this property to a non-zero value can improve performance by avoiding the long tail of requests to S3. For very slow connections to S3, consider increasing this value or setting it to 0.",STRING,,false
alluxio.underfs.s3.secure.http.enabled,Whether or not to use HTTPS protocol when communicating with S3.,STRING,,false
alluxio.underfs.s3.server.side.encryption.enabled,Whether or not to encrypt data stored in S3.,STRING,,false
alluxio.underfs.s3.signer.algorithm,"The signature algorithm which should be used to sign requests to the s3 service. This is optional, and if not set, the client will automatically determine it. For interacting with an S3 endpoint which only supports v2 signatures, set this to &quot;S3SignerType&quot;.",STRING,,false
alluxio.underfs.s3.socket.timeout,Length of the socket timeout when communicating with S3.,STRING,,false
alluxio.underfs.s3.streaming.upload.enabled,"(Experimental) If true, using streaming upload to write to S3.",STRING,,false
alluxio.underfs.s3.streaming.upload.partition.size,"Maximum allowable size of a single buffer file when using S3A streaming upload. When the buffer file reaches the partition size, it will be uploaded and the upcoming data will write to other buffer files.If the partition size is too small, S3A upload speed might be affected.",STRING,,false
alluxio.underfs.s3.threads.max,The maximum number of threads to use for communicating with S3 and the maximum number of concurrent connections to S3. Includes both threads for data upload and metadata operations. This number should be at least as large as the max admin threads plus max upload threads.,STRING,,false
alluxio.underfs.s3.upload.threads.max,"For an Alluxio worker, this is the maximum number of threads to use for uploading data to S3 for multipart uploads. These operations can be fairly expensive, so multiple threads are encouraged. However, this also splits the bandwidth between threads, meaning the overall latency for completing an upload will be higher for more threads. For the Alluxio master, this is the maximum number of threads used for the rename (copy) operation. It is recommended that value should be greater than or equal to alluxio.underfs.object.store.service.threads",STRING,,false
alluxio.underfs.strict.version.match.enabled,"When enabled, Alluxio finds the UFS connector by strict version matching. Otherwise only version prefix is compared.",STRING,,false
alluxio.underfs.web.connnection.timeout,Default timeout for a http connection.,STRING,,false
alluxio.underfs.web.header.last.modified,Date format of last modified for a http response header.,STRING,,false
alluxio.underfs.web.parent.names,The text of the http link for the parent directory.,STRING,,false
alluxio.underfs.web.titles,The title of the content for a http url.,STRING,,false
alluxio.web.cors.allow.credential,Enable request include credential.,STRING,,false
alluxio.web.cors.allow.headers,Which headers is allowed for cors. use * allow all any header.,STRING,,false
alluxio.web.cors.allow.methods,Which methods is allowed for cors. use * allow all any method.,STRING,,false
alluxio.web.cors.allow.origins,Which origins is allowed for cors. use * allow all any origin.,STRING,,false
alluxio.web.cors.enabled,Set to true to enable Cross-Origin Resource Sharing for RESTful APIendpoints.,STRING,,false
alluxio.web.cors.exposed.headers,Which headers are allowed to set in response when access cross-origin resource. use * allow all any header.,STRING,,false
alluxio.web.cors.max.age,Maximum number of seconds the results can be cached. -1 means no cache.,STRING,,false
alluxio.web.file.info.enabled,Whether detailed file information are enabled for the web UI.,STRING,,false
alluxio.web.refresh.interval,The amount of time to await before refreshing the Web UI if it is set to auto refresh.,STRING,,false
alluxio.web.threaddump.log.enabled,Whether thread information is also printed to the log when the thread dump api is accessed,UNKOWN,,false
alluxio.web.threads,How many threads to serve Alluxio web UI.,STRING,,false
alluxio.web.ui.enabled,"Whether the master/worker will have Web UI enabled. If set to false, the master/worker will not have Web UI page, but the RESTful endpoints and metrics will still be available.",STRING,,false
alluxio.work.dir,"The directory to use for Alluxio's working directory. By default, the journal, logs, and under file storage data (if using local filesystem) are written here.",STRING,,false
alluxio.zookeeper.address,Address of ZooKeeper.,STRING,,false
alluxio.zookeeper.auth.enabled,"If true, enable client-side Zookeeper authentication.",STRING,,false
alluxio.zookeeper.connection.timeout,Connection timeout for Alluxio (job) masters to select the leading (job) master when connecting to Zookeeper,UNKOWN,,false
alluxio.zookeeper.election.path,Election directory in ZooKeeper.,STRING,,false
alluxio.zookeeper.enabled,"If true, setup master fault tolerant mode using ZooKeeper.",STRING,,false
alluxio.zookeeper.job.election.path,N/A,UNKOWN,,false
alluxio.zookeeper.job.leader.path,N/A,UNKOWN,,false
alluxio.zookeeper.leader.connection.error.policy,"Connection error policy defines how errors on zookeeper connections to be treated in leader election. STANDARD policy treats every connection event as failure.SESSION policy relies on zookeeper sessions for judging failures, helping leader to retain its status, as long as its session is protected.",STRING,,false
alluxio.zookeeper.leader.inquiry.retry,The number of retries to inquire leader from ZooKeeper.,STRING,,false
alluxio.zookeeper.leader.path,Leader directory in ZooKeeper.,STRING,,false
alluxio.zookeeper.session.timeout,Session timeout to use when connecting to Zookeeper,UNKOWN,,false
fs.azure.account.oauth2.client.endpoint,The oauth endpoint for ABFS.,STRING,,false
fs.azure.account.oauth2.client.id,The client id for ABFS.,STRING,,false
fs.azure.account.oauth2.client.secret,The client secret for ABFS.,STRING,,false
fs.azure.account.oauth2.msi.endpoint,MSI endpoint,UNKOWN,,false
fs.azure.account.oauth2.msi.tenant,MSI Tenant ID,UNKOWN,,false
fs.cos.access.key,The access key of COS bucket.,STRING,,false
fs.cos.app.id,The app id of COS bucket.,STRING,,false
fs.cos.connection.max,The maximum number of COS connections.,STRING,,false
fs.cos.connection.timeout,The timeout of connecting to COS.,STRING,,false
fs.cos.region,The region name of COS bucket.,STRING,,false
fs.cos.secret.key,The secret key of COS bucket.,STRING,,false
fs.cos.socket.timeout,The timeout of COS socket.,STRING,,false
fs.gcs.accessKeyId,The access key of GCS bucket. This property key is only valid when alluxio.underfs.gcs.version=1,STRING,,false
fs.gcs.credential.path,The json file path of Google application credentials. This property key is only valid when alluxio.underfs.gcs.version=2,STRING,,false
fs.gcs.secretAccessKey,The secret key of GCS bucket. This property key is only valid when alluxio.underfs.gcs.version=1,STRING,,false
fs.obs.accessKey,The access key of OBS bucket.,STRING,,false
fs.obs.bucketType,The type of bucket (obs/pfs).,STRING,,false
fs.obs.endpoint,The endpoint of OBS bucket.,STRING,,false
fs.obs.secretKey,The secret key of OBS bucket.,STRING,,false
fs.oss.accessKeyId,The access key of OSS bucket.,STRING,,false
fs.oss.accessKeySecret,The secret key of OSS bucket.,STRING,,false
fs.oss.endpoint,The endpoint key of OSS bucket.,STRING,,false
s3a.accessKeyId,The access key of S3 bucket.,STRING,,false
s3a.secretKey,The secret key of S3 bucket.,STRING,,false
alluxio.master.audit.logging.enabled,Set to true to enable file system master audit.,STRING,,false
alluxio.master.audit.logging.queue.capacity,Capacity of the queue used by audit logging.,STRING,,false
alluxio.master.backup.abandon.timeout,Duration after which leader will abandon the backup if it has not received heartbeat from backup-worker.,STRING,,false
alluxio.master.backup.connect.interval.max,Maximum delay between each connection attempt to backup-leader.,STRING,,false
alluxio.master.backup.connect.interval.min,Minimum delay between each connection attempt to backup-leader.,STRING,,false
alluxio.master.backup.delegation.enabled,Whether to delegate journals to standby masters in HA cluster.,STRING,,false
alluxio.master.backup.directory,"Default directory for writing master metadata backups. This path is an absolute path of the root UFS. For example, if the root ufs directory is hdfs://host:port/alluxio/data, the default backup directory will be hdfs://host:port/alluxio_backups.",STRING,,false
alluxio.master.backup.entry.buffer.count,How many journal entries to buffer during a back-up.,STRING,,false
alluxio.master.backup.heartbeat.interval,Interval at which stand-by master that is taking the backup will update the leading master with current backup status.,STRING,,false
alluxio.master.backup.state.lock.exclusive.duration,Alluxio master will allow only exclusive locking of the state-lock for this duration. This duration starts after masters are started for the first time. User RPCs will fail to acquire state-lock during this phase and a backup is guaranteed take the state-lock meanwhile.,STRING,,false
alluxio.master.backup.state.lock.forced.duration,Exclusive locking of the state-lock will timeout after this duration is spent on forced phase.,STRING,,false
alluxio.master.backup.state.lock.interrupt.cycle.enabled,This controls whether RPCs that are waiting/holding state-lock in shared-mode will be interrupted while state-lock is taken exclusively.,STRING,,false
alluxio.master.backup.state.lock.interrupt.cycle.interval,The interval at which the RPCs that are waiting/holding state-lock in shared-mode will be interrupted while state-lock is taken exclusively.,STRING,,false
alluxio.master.backup.suspend.timeout,Timeout for when suspend request is not followed by a backup request.,STRING,,false
alluxio.master.backup.transport.timeout,Communication timeout for messaging between masters for coordinating backup.,STRING,,false
alluxio.master.bind.host,The hostname that Alluxio master binds to.,STRING,,false
alluxio.master.block.scan.invalid.batch.max.size,"The invalid block max batch size when the master is scanning the invalid blocks, minus number means no limit.",STRING,,false
alluxio.master.container.id.reservation.size,"The number of container ids to 'reserve' before having to journal container id state. This allows the master to return container ids within the reservation, without having to write to.",STRING,,false
alluxio.master.daily.backup.enabled,Whether or not to enable daily primary master metadata backup.,STRING,,false
alluxio.master.daily.backup.files.retained,The maximum number of backup files to keep in the backup directory.,STRING,,false
alluxio.master.daily.backup.state.lock.grace.mode,Grace mode helps taking the state-lock exclusively for backup with minimum disruption to existing RPCs. This low-impact locking phase is called grace-cycle. Two modes are supported: TIMEOUT/FORCED.TIMEOUT: Means exclusive locking will timeout if it cannot acquire the lockwith grace-cycle. FORCED: Means the state-lock will be taken forcefully if grace-cycle fails to acquire it. Forced phase might trigger interrupting of existing RPCs if it is enabled.,STRING,,false
alluxio.master.daily.backup.state.lock.sleep.duration,The duration that controls how long the lock waiter sleeps within a single grace-cycle.,STRING,,false
alluxio.master.daily.backup.state.lock.timeout,The max duration for a grace-cycle.,STRING,,false
alluxio.master.daily.backup.state.lock.try.duration,The duration that controls how long the state-lock is tried within a single grace-cycle.,STRING,,false
alluxio.master.daily.backup.time,"Default UTC time for writing daily master metadata backups. The accepted time format is hour:minute which is based on a 24-hour clock (E.g., 05:30, 06:00, and 22:04). Backing up metadata requires a pause in master metadata changes, so please set this value to an off-peak time to avoid interfering with other users of the system.",STRING,,false
alluxio.master.embedded.journal.addresses,"A comma-separated list of journal addresses for all masters in the cluster. The format is 'hostname1:port1,hostname2:port2,...'. When left unset, Alluxio uses ${alluxio.master.hostname}:${alluxio.master.embedded.journal.port} by default",STRING,,false
alluxio.master.embedded.journal.catchup.retry.wait,Time for embedded journal leader to wait before retrying a catch up. This is added to avoid excessive retries when server is not ready.,STRING,,false
alluxio.master.embedded.journal.election.timeout.max,"The max election timeout for the embedded journal. When a random period between ${alluxio.master.embedded.journal.election.timeout.min} and ${alluxio.master.embedded.journal.election.timeout.max} elapses without a master receiving any messages, the master will attempt to become the primary Election timeout will be waited initially when the cluster is forming. So larger values for election timeout will cause longer start-up time. Smaller values might introduce instability to leadership.",STRING,,false
alluxio.master.embedded.journal.election.timeout.min,The min election timeout for the embedded journal.,STRING,,false
alluxio.master.embedded.journal.entry.size.max,The maximum single journal entry size allowed to be flushed. This value should be smaller than 30MB. Set to a larger value to allow larger journal entries when using the Alluxio Catalog service.,STRING,,false
alluxio.master.embedded.journal.flush.size.max,The maximum size in bytes of journal entries allowed in concurrent journal flushing (journal IO to standby masters and IO to local disks).,STRING,,false
alluxio.master.embedded.journal.port,The port to use for embedded journal communication with other masters.,STRING,,false
alluxio.master.embedded.journal.raft.client.request.interval,Base interval for retrying Raft client calls. The retry policy is ExponentialBackoffRetry,STRING,,false
alluxio.master.embedded.journal.raft.client.request.timeout,Time after which calls made through the Raft client timeout.,STRING,,false
alluxio.master.embedded.journal.ratis.config,"Prefix for Apache Ratis internal configuration options. For example, setting alluxio.master.embedded.journal.ratis.config.raft.server.rpc.request.timeout will set ratis.config.raft.server.rpc.request.timeout on the Ratis service in the Alluxio master.",STRING,,false
alluxio.master.embedded.journal.retry.cache.expiry.time,"The time for embedded journal server retry cache to expire. Setting a bigger value allows embedded journal server to cache the responses for a longer time in case of journal writer retries, but will take up more memory in master.",STRING,,false
alluxio.master.embedded.journal.snapshot.replication.chunk.size,The stream chunk size used by masters to replicate snapshots.,STRING,,false
alluxio.master.embedded.journal.snapshot.replication.compression.level,"The zip compression level of sending a snapshot from one master to another. Only applicable when alluxio.master.embedded.journal.snapshot.replication.compression.type is not NO_COMPRESSION. The zip format defines ten levels of compression, ranging from 0 (no compression, but very fast) to 9 (best compression, but slow). Or -1 for the system default compression level.",STRING,,false
alluxio.master.embedded.journal.snapshot.replication.compression.type,"The type of compression to use when transferring a snapshot from one master to another. Options are NO_COMPRESSION, GZIP, TAR_GZIP",STRING,,false
alluxio.master.embedded.journal.transport.max.inbound.message.size,The maximum size of a message that can be sent to the embedded journal server node.,STRING,,false
alluxio.master.embedded.journal.transport.request.timeout.ms,The duration after which embedded journal masters will timeout messages sent between each other. Lower values might cause leadership instability when the network is slow.,STRING,,false
alluxio.master.embedded.journal.unsafe.flush.enabled,"If true, embedded journal entries will be committed without waiting for the entry to be flushed to disk. This may improve performance of write operations on the Alluxio master if the journal is written to a slow or contested disk. WARNING: enabling this property may result in metadata loss if half or more of the master nodes fail. See Ratis property raft.server.log.unsafe-flush.enabled at https://github.com/apache/ratis/blob/master/ratis-docs/src/site/markdown/configuraions.md.",STRING,,false
alluxio.master.embedded.journal.write.timeout,Maximum time to wait for a write/flush on embedded journal.,STRING,,false
alluxio.master.failover.collect.info,"If true, the primary master will persist metrics and jstack into the log folder when it transitions to standby.",STRING,,false
alluxio.master.file.access.time.journal.flush.interval,The minimum interval between files access time update journal entries get flushed asynchronously. Setting it to a non-positive value will make the the journal update synchronous. Asynchronous update reduces the performance impact of tracking access time but can lose some access time update when master stops unexpectedly.,STRING,,false
alluxio.master.file.access.time.update.precision,The file last access time is precise up to this value. Setting it toa non-positive value will update last access time on every file access operation.Longer precision will help reduce the performance impact of tracking access time by reduce the amount of metadata writes occur while reading the same group of files repetitively.,STRING,,false
alluxio.master.file.access.time.updater.enabled,"If enabled, file access time updater will update the file last access time when an inode is accessed. This property can be turned off to improve performance and reduce the number of journal entries if your application does not rely on the file access time metadata.",STRING,,false
alluxio.master.file.access.time.updater.shutdown.timeout,Maximum time to wait for access updater to stop on shutdown.,STRING,,false
alluxio.master.filesystem.liststatus.result.message.length,Count of items on each list-status response message.,STRING,,false
alluxio.master.filesystem.merge.inode.journals,"If enabled, the file system master inode related journalswill be merged and submitted BEFORE the inode path lock is released. Due to the performance consideration, this will not apply to the metadata sync, where journals are still flushed asynchronously.",STRING,,false
alluxio.master.filesystem.operation.retry.cache.enabled,"If enabled, each filesystem operation will be tracked on all masters, in order to avoid re-execution of client retries.",STRING,,false
alluxio.master.filesystem.operation.retry.cache.size,Size of fs operation retry cache.,STRING,,false
alluxio.master.format.file.prefix,The file prefix of the file generated in the journal directory when the journal is formatted. The master will search for a file with this prefix when determining if the journal is formatted.,STRING,,false
alluxio.master.heartbeat.timeout,Timeout between leader master and standby master indicating a lost master.,STRING,,false
alluxio.master.hostname,The hostname of Alluxio master.,STRING,,false
alluxio.master.journal.backup.when.corrupted,Takes a backup automatically when encountering journal corruption,UNKOWN,,false
alluxio.master.journal.catchup.protect.enabled,(Experimental) make sure the journal catchup finish before joining the quorum in fault tolerant mode when starting the master process and before the current master becoming the leader.This is added to prevent frequently leadership transition during heavy journal catchup stage. Catchup is only implemented in ufs journal with Zookeeper.,STRING,,false
alluxio.master.journal.checkpoint.period.entries,The number of journal entries to write before creating a new journal checkpoint.,STRING,,false
alluxio.master.journal.exit.on.demotion,"(Experimental) When this flag is set to true, the master process may start as the primary or standby in a quorum, but at any point in time after becoming a primary it is demoted to standby, the process will shut down. This leaves the responsibility of restarting the master to re-join the quorum (e.g. in case of a journal failure on a particular node) to an external entity such as kubernetes or systemd.",STRING,,false
alluxio.master.journal.flush.batch.time,Time to wait for batching journal writes.,STRING,,false
alluxio.master.journal.flush.timeout,The amount of time to keep retrying journal writes before giving up and shutting down the master.,STRING,,false
alluxio.master.journal.folder,The path to store master journal logs. When using the UFS journal this could be a URI like hdfs://namenode:port/alluxio/journal. When using the embedded journal this must be a local path,STRING,,false
alluxio.master.journal.gc.period,Frequency with which to scan for and delete stale journal checkpoints.,STRING,,false
alluxio.master.journal.gc.threshold,Minimum age for garbage collecting checkpoints.,STRING,,false
alluxio.master.journal.init.from.backup,"A uri for a backup to initialize the journal from. When the master becomes primary, if it sees that its journal is freshly formatted, it will restore its state from the backup. When running multiple masters, this property must be configured on all masters since it isn't known during startup which master will become the first primary.",STRING,,false
alluxio.master.journal.local.log.compaction,Whether to employ a quorum level log compaction policy or a local (individual) log compaction policy.,STRING,,false
alluxio.master.journal.log.size.bytes.max,"If a log file is bigger than this value, it will rotate to next file.",STRING,,false
alluxio.master.journal.request.data.timeout,Time to wait for follower to respond to request to send a new snapshot,UNKOWN,,false
alluxio.master.journal.request.info.timeout,Time to wait for follower to respond to request to get information about its latest snapshot,UNKOWN,,false
alluxio.master.journal.retry.interval,The amount of time to sleep between retrying journal flushes,UNKOWN,,false
alluxio.master.journal.space.monitor.interval,How often to check and update information on space utilization of the journal disk. This is currently only compatible with linux-basedsystems and when alluxio.master.journal.type is configured to EMBEDDED,STRING,,false
alluxio.master.journal.space.monitor.percent.free.threshold,"When the percent of free space on any disk which backs the journal falls below this percentage, begin logging warning messages to let administrators know the journal disk(s) may be running low on space.",STRING,,false
alluxio.master.journal.tailer.shutdown.quiet.wait.time,"Before the standby master shuts down its tailer thread, there should be no update to the leader master's journal in this specified time period.",STRING,,false
alluxio.master.journal.tailer.sleep.time,"Time for the standby master to sleep for when it cannot find anything new in leader master's journal.",STRING,,false
alluxio.master.journal.temporary.file.gc.threshold,Minimum age for garbage collecting temporary checkpoint files.,STRING,,false
alluxio.master.journal.type,"The type of journal to use. Valid options are UFS (store journal in UFS), EMBEDDED (use a journal embedded in the masters), and NOOP (do not use a journal)",STRING,,false
alluxio.master.journal.ufs.option,The configuration to use for the journal operations.,STRING,,false
alluxio.master.jvm.monitor.enabled,Whether to enable start JVM monitor thread on the master. This will start a thread to detect JVM-wide pauses induced by GC or other reasons.,STRING,,false
alluxio.master.keytab.file,Kerberos keytab file for Alluxio master.,STRING,,false
alluxio.master.lock.pool.concurrency.level,Maximum concurrency level for the lock pool,UNKOWN,,false
alluxio.master.lock.pool.high.watermark,"High watermark of lock pool size. When the size grows over the high watermark, a background thread starts evicting unused locks from the pool.",STRING,,false
alluxio.master.lock.pool.initsize,Initial size of the lock pool for master inodes.,STRING,,false
alluxio.master.lock.pool.low.watermark,"Low watermark of lock pool size. When the size grows over the high watermark, a background thread will try to evict unused locks until the size reaches the low watermark.",STRING,,false
alluxio.master.log.config.report.heartbeat.interval,The interval for periodically logging the configuration check report.,STRING,,false
alluxio.master.lost.proxy.deletion.timeout,"If an Alluxio Proxy has been lost for more than this timeout, the master will totally forget this worker.",STRING,,false
alluxio.master.lost.worker.deletion.timeout,"If a worker has no heartbeat with the master for more than this timeout, the master will totally forget this worker.",STRING,,false
alluxio.master.lost.worker.detection.interval,The interval between Alluxio master detections to find lost workers based on updates from Alluxio workers.,STRING,,false
alluxio.master.lost.worker.file.detection.interval,The interval between Alluxio master detections to find lost files based on updates from Alluxio workers.,STRING,,false
alluxio.master.merge.journal.context.num.entries.logging.threshold,The logging threshold of number of journal entries which are held in a merge journal context. This log may help debug memory exhaustion issues.,STRING,,false
alluxio.master.metadata.concurrent.sync.dedup,"If set to true, a metadata sync request will be skipped and doesn't trigger a UFS sync when there have already been other requests syncing the same path. The outstanding metadata sync request will wait until these syncs are done and return SyncStatus.NOT_NEED.",STRING,,false
alluxio.master.metadata.sync.concurrency.level,The maximum number of concurrent sync tasks running for a given sync operation,UNKOWN,,false
alluxio.master.metadata.sync.executor.pool.size,The number of threads used to execute all metadata syncoperations,UNKOWN,,false
alluxio.master.metadata.sync.ignore.ttl,Whether files created from metadata sync will ignore the TTL from the command/path conf and have no TTL.,STRING,,false
alluxio.master.metadata.sync.instrument.executor,If true the metadata sync thread pool executors will be instrumented with additional metrics.,STRING,,false
alluxio.master.metadata.sync.lock.pool.concurrency.level,Maximum concurrency level for the metadata sync lock pool,UNKOWN,,false
alluxio.master.metadata.sync.lock.pool.high.watermark,"High watermark of metadata sync lock pool size. When the size grows over the high watermark, a background thread starts evicting unused locks from the pool.",STRING,,false
alluxio.master.metadata.sync.lock.pool.initsize,Initial size of the lock pool for master metadata sync.,STRING,,false
alluxio.master.metadata.sync.lock.pool.low.watermark,"Low watermark of metadata sync lock pool size. When the size grows over the high watermark, a background thread will try to evict unused locks until the size reaches the low watermark.",STRING,,false
alluxio.master.metadata.sync.traversal.order,"The pending Path in the Inode SyncStream traversal order, DFS consumes less memory while BFS is more fair for all concurrent sync tasks. For more description see the comments of MetadataSyncTraversalOrder.",STRING,,false
alluxio.master.metadata.sync.ufs.prefetch.pool.size,The number of threads used to fetch UFS objects for all metadata syncoperations,UNKOWN,,false
alluxio.master.metadata.sync.ufs.prefetch.status,Whether or not to prefetch ufs status of children during metadata sync. Prefetching will facilitate the metadata sync process but will consume more memory to hold prefetched results.,STRING,,false
alluxio.master.metadata.sync.ufs.prefetch.timeout,The timeout for a metadata fetch operation from the UFSes. Adjust this timeout according to the expected UFS worst-case response time.,STRING,,false
alluxio.master.metastore,"The type of metastore to use, either HEAP or ROCKS. The heap metastore keeps all metadata on-heap, while the rocks metastore stores some metadata on heap and some metadata on disk. The rocks metastore has the advantage of being able to support a large namespace (1 billion plus files) without needing a massive heap size.The metadata storage includes inode and block metadata. Users can override the type of metastore using alluxio.master.metastore.inode and alluxio.master.metastore.block. For example if alluxio.master.metastore=ROCKS but alluxio.master.metastore.inode=HEAP, then inodes are stored with HEAP and blocks are stored with ROCKS.",STRING,,false
alluxio.master.metastore.block,"The type of block metastore to use, either HEAP or ROCKS. By default this uses alluxio.master.metastore.",STRING,,false
alluxio.master.metastore.dir,The metastore work directory. Only some metastores need disk.,STRING,,false
alluxio.master.metastore.dir.block,"If the metastore is ROCKS, this property controls where the RocksDB stores block metadata. This property defaults to alluxio.master.metastore.dir. And it can be used to change block metadata storage path to a different disk to improve RocksDB performance.",STRING,,false
alluxio.master.metastore.dir.inode,"If the metastore is ROCKS, this property controls where the RocksDB stores inode metadata. This property defaults to alluxio.master.metastore.dir. And it can be used to change inode metadata storage path to a different disk to improve RocksDB performance.",STRING,,false
alluxio.master.metastore.inode,"The type of inode metastore to use, either HEAP or ROCKS. By default this uses alluxio.master.metastore.",STRING,,false
alluxio.master.metastore.inode.cache.evict.batch.size,The batch size for evicting entries from the inode cache.,STRING,,false
alluxio.master.metastore.inode.cache.high.water.mark.ratio,"The high water mark for the inode cache, as a ratio from high water mark to total cache size. If this is 0.85 and the max size is 10 million, the high water mark value is 8.5 million. When the cache reaches the high water mark, the eviction process will evict down to the low water mark.",STRING,,false
alluxio.master.metastore.inode.cache.low.water.mark.ratio,"The low water mark for the inode cache, as a ratio from low water mark to total cache size. If this is 0.8 and the max size is 10 million, the low water mark value is 8 million. When the cache reaches the high water mark, the eviction process will evict down to the low water mark.",STRING,,false
alluxio.master.metastore.inode.cache.max.size,"The number of inodes to cache on-heap. The default value is chosen based on half the amount of maximum available memory of master JVM at runtime, and the estimation that each inode takes up approximately 2 KB of memory. This only applies to off-heap metastores, e.g. ROCKS. Set this to 0 to disable the on-heap inode cache",STRING,,false
alluxio.master.metastore.inode.enumerator.buffer.count,The number of entries to buffer during read-ahead enumeration.,STRING,,false
alluxio.master.metastore.inode.inherit.owner.and.group,Whether to inherit the owner/group from the parent when creating a new inode path if empty,UNKOWN,,false
alluxio.master.metastore.inode.iteration.crawler.count,The number of threads used during inode tree enumeration.,STRING,,false
alluxio.master.metastore.iterator.readahead.size,The read-ahead size (in bytes) for metastore iterators.,STRING,,false
alluxio.master.metastore.metrics.refresh.interval,Interval with which the master refreshes and reports metastore metrics,UNKOWN,,false
alluxio.master.metastore.rocks.block.location.block.index,"The block index type to be used in the RocksDB block location table. If unset, the RocksDB default will be used. See https://rocksdb.org/blog/2018/08/23/data-block-hash-index.html",STRING,,false
alluxio.master.metastore.rocks.block.location.bloom.filter,"Whether or not to use a bloom filter in the Block location table in RocksDB. If unset, the RocksDB default will be used. See https://github.com/facebook/rocksdb/wiki/RocksDB-Bloom-Filter",STRING,,false
alluxio.master.metastore.rocks.block.location.cache.size,"The capacity in bytes of the RocksDB block location table LRU cache. If unset, the RocksDB default will be used. See https://github.com/facebook/rocksdb/wiki/Block-Cache",STRING,,false
alluxio.master.metastore.rocks.block.location.index,"The index type to be used in the RocksDB block location table. If unset, the RocksDB default will be used. See https://github.com/facebook/rocksdb/wiki/Index-Block-Format",STRING,,false
alluxio.master.metastore.rocks.block.meta.block.index,"The block index type to be used in the RocksDB block metadata table. If unset, the RocksDB default will be used.See https://rocksdb.org/blog/2018/08/23/data-block-hash-index.html",STRING,,false
